release_date,artist,album,fantano_rating,review_link,number_user_reviews,number_critic_reviews,format,label,genres,producer,website,tracks,features,number_tracks,avg_track_rating,total_length,user_score,critic_score,info_link
"February 14, 2011",PJ Harvey,Let England Shake,80,https://www.youtube.com/watch?v=3-IGABC6rlU,762,42,LP,Island Records,"Alternative Rock, Art Rock",NA,www.pjharvey.net,Let England Shake [98] (3:09) | The Last Living Rose [94] (2:21) | The Glorious Land [97] (3:34) | The Words That Maketh Murder [98] (3:45) | All & Everyone [96] (5:39) | On Battleship Hill [95] (4:07) | England [83] (3:11) | In the Dark Places [91] (2:59) | Bitter Branches [89] (2:29) | Hanging on the Wire [85] (2:42) | Written on the Forehead [89] (3:39) | The Colour of the Earth [90] (2:33),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,12,92.08333333333331,Total Length: 40 minutes,84,89,https://www.albumoftheyear.org/album/2087-pj-harvey-let-england-shake.php
"November 4, 2016",CZARFACE,A Fistful of Peril,60,https://www.youtube.com/watch?v=Yv4z3I-Auww,55,1,LP,Silver Age,"Hip Hop, Boom Bap, East Coast Hip Hop",NA,NA,NA,NA,NA,NA,NA,72,60,https://www.albumoftheyear.org/album/63643-czarface-a-fistful-of-peril.php
"October 9, 2012",Macklemore & Ryan Lewis,The Heist,70,https://www.youtube.com/watch?v=r3K4-d_XQaw,321,6,LP,"Macklemore LLC, Ada","Hip Hop, Pop Rap, Conscious Hip Hop",NA,NA,NA,NA,NA,NA,NA,64,73,https://www.albumoftheyear.org/album/4429-macklemore-ryan-lewis-the-heist.php
"April 6, 2018",Cardi B,Invasion of Privacy,60,https://www.youtube.com/watch?v=mxMQEy8sQJI,1570,22,LP,Atlantic,"Trap, East Coast Hip Hop","Murda Beatz, benny blanco, Frank Dukes, Tainy, Boi-1da, 30 Roc, Cubeatz, Allen Ritter, Andrew Watt, Vinylz, Scribz, Craig Kallman, DJ Mustard, J. White, Keyz, Needlz",cardibofficial.com,Get Up 10 [73] (103:51) | Drip [60] (4:22) | Bickenhead [63] (3:01) | Bodak Yellow [69] (3:43) | Be Careful [73] (3:30) | Best Life [68] (4:44) | I Like It [77] (4:13) | Ring [69] (2:57) | Money Bag [48] (3:49) | Bartier Cardi [66] (3:44) | She Bad [41] (3:50) | Thru Your Phone [70] (3:08) | I Do [71] (3:20),NA | Migos | NA | NA | NA | Chance The Rapper | NA | Kehlani | NA | 21 Savage | NA | NA | SZA,13,65.23076923076923,Total Length: 48 minutes,62,82,https://www.albumoftheyear.org/album/106020-cardi-b-invasion-of-privacy.php
"December 2, 2016",Childish Gambino,"""Awaken, My Love!""",70,https://www.youtube.com/watch?v=BwC-hYrfKV4,2314,32,LP,Glassnote Records,"Neo-Soul, Synth Funk, Psychedelic Soul","Ludwig Göransson, Donald Glover",NA,Me and Your Mama [94] (6:19) | Have Some Love [79] (3:44) | Boogieman [80] (3:36) | Zombies [78] (4:41) | Riot [79] (2:05) | Redbone [94] (5:26) | California [66] (2:45) | Terrified [83] (4:15) | Baby Boy [84] (6:22) | The Night Me and Your Mama Met [78] (3:34) | Stand Tall [87] (6:10),NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,11,82,Total Length: 49 minutes,79,77,https://www.albumoftheyear.org/album/65080-childish-gambino-awaken-my-love.php
"October 13, 2015",Uncommon Nasa,Halfway,70,https://www.youtube.com/watch?v=ChDzL7bpI3M,10,1,LP,Uncommon,"Conscious Hip Hop, East Coast Hip Hop",NA,NA,NA,NA,NA,NA,NA,67,70,https://www.albumoftheyear.org/album/41502-uncommon-nasa-halfway.php
"January 29, 2013",Cakes da Killa,The Eulogy,80,https://www.youtube.com/watch?v=NczoVKmb1xs,15,2,Mixtape,Mishka NYC,-,NA,NA,NA,NA,NA,NA,NA,74,78,https://www.albumoftheyear.org/album/30773-cakes-da-killa-the-eulogy.php
"April 29, 2019",Weatherday,Come In,70,https://www.youtube.com/watch?v=Jo2mZw2vNSg,656,1,LP,No Label,"Lo-Fi, Noise Pop, Emo, Noise Rock, Indie Rock",NA,NA,NA,NA,NA,NA,NA,79,70,https://www.albumoftheyear.org/album/151267-weatherday-come-in.php
"April 26, 2010",Ariel Pink's Haunted Graffiti,Round and Round,90,https://www.youtube.com/watch?v=3vl5QXJolYU,19,1,Single,4AD,Psychedelic Pop,NA,NA,NA,NA,NA,NA,NA,91,90,https://www.albumoftheyear.org/album/86565-ariel-pinks-haunted-graffiti-round-and-round.php
"November 3, 2014",Wildbirds & Peacedrums,Rhythm,80,https://www.youtube.com/watch?v=JKMyr5J9J-Q,17,12,LP,The Leaf Label,Art Pop,NA,NA,NA,NA,NA,NA,NA,77,74,https://www.albumoftheyear.org/album/22324-wildbirds-peacedrums-rhythm.php
